epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,772.357,0.84362,0.52121,0.24139,0.70997,1.30411,0.987,1,0.995,0.71653,0.987,1,0.995,0.87665,1.22324,0.58541,0.01192,0.75629,1.51119,0.001076,0.001076,0.001076
30,799.444,0.81322,0.49574,0.24377,0.68478,1.2878,0.99045,1,0.995,0.58757,0.99045,1,0.995,0.89454,1.60122,0.61323,0.0401,0.80614,1.92687,0.001043,0.001043,0.001043
31,826.271,0.82326,0.49794,0.22217,0.71023,1.31166,0.99013,1,0.995,0.64967,0.99013,1,0.995,0.84826,1.46551,0.71992,0.04505,0.81084,1.6839,0.00101,0.00101,0.00101
32,852.731,0.83375,0.53214,0.23668,0.70988,1.30108,0.98885,1,0.995,0.67048,0.98885,1,0.995,0.9334,1.33719,0.52427,0.03725,0.62256,1.59494,0.000977,0.000977,0.000977
33,879.043,0.80721,0.45547,0.23296,0.67628,1.31516,0.98688,1,0.995,0.69472,0.98688,1,0.995,0.91106,1.22487,0.45715,0.02798,0.63027,1.51527,0.000944,0.000944,0.000944
34,905.63,0.82433,0.45721,0.22364,0.67821,1.30345,0.98712,1,0.995,0.61549,0.98712,1,0.995,0.893,1.41537,0.47839,0.02842,0.86901,1.67157,0.000911,0.000911,0.000911
35,931.944,0.8677,0.46467,0.22545,0.72096,1.31741,0.9899,1,0.995,0.67467,0.9899,1,0.995,0.93002,1.26653,0.45547,0.02176,0.73295,1.54814,0.000878,0.000878,0.000878
36,958.12,0.8113,0.46207,0.22181,0.69828,1.27895,0.98453,1,0.995,0.62031,0.98453,1,0.995,0.93342,1.47775,0.45016,0.02819,0.89315,1.85004,0.000845,0.000845,0.000845
37,984.385,0.80941,0.40751,0.22303,0.68287,1.27261,0.98569,1,0.995,0.65132,0.98569,1,0.995,0.92082,1.33209,0.3925,0.03119,0.7203,1.61919,0.000812,0.000812,0.000812
38,1010.55,0.79538,0.43182,0.21663,0.66543,1.28104,0.98191,1,0.995,0.67683,0.98191,1,0.995,0.8862,1.23425,0.46231,0.0239,0.69434,1.53212,0.000779,0.000779,0.000779
39,1036.85,0.79066,0.4301,0.21601,0.681,1.25992,0.97996,1,0.995,0.72157,0.97996,1,0.995,0.94462,1.20719,0.41551,0.02135,0.76634,1.53957,0.000746,0.000746,0.000746
40,1063.42,0.76282,0.42964,0.22382,0.65139,1.26977,1,0.99949,0.995,0.61826,1,0.99949,0.995,0.94879,1.56384,0.41323,0.04396,1.36902,1.82492,0.000713,0.000713,0.000713
41,1089.74,0.78192,0.37817,0.20443,0.65797,1.26706,0.9875,1,0.995,0.67141,0.9875,1,0.995,0.94564,1.37243,0.31729,0.02984,0.97636,1.64812,0.00068,0.00068,0.00068
42,1116.39,0.75527,0.37895,0.23128,0.66038,1.24211,0.99038,1,0.995,0.67464,0.99038,1,0.995,0.93985,1.35856,0.27844,0.05425,0.68536,1.63932,0.000647,0.000647,0.000647
43,1142.85,0.79301,0.40372,0.22529,0.68136,1.28957,0.98651,1,0.995,0.77042,0.98651,1,0.995,0.99318,1.10184,0.24509,0.04091,0.61745,1.42708,0.000614,0.000614,0.000614
44,1169.27,0.75377,0.35429,0.20196,0.64205,1.25407,0.99054,1,0.995,0.69526,0.99054,1,0.995,0.93531,1.32657,0.33444,0.03806,0.64319,1.63486,0.000581,0.000581,0.000581
45,1195.62,0.76326,0.38559,0.21679,0.64592,1.25714,0.99078,1,0.995,0.73488,0.99078,1,0.995,0.95656,1.19216,0.29311,0.0327,0.57887,1.46314,0.000548,0.000548,0.000548
46,1222.11,0.76735,0.42161,0.21564,0.63381,1.25818,0.99053,1,0.995,0.71585,0.99053,1,0.995,0.97197,1.10695,0.25803,0.03021,0.59086,1.40455,0.000515,0.000515,0.000515
47,1248.52,0.72017,0.34966,0.19616,0.60754,1.2348,0.99103,1,0.995,0.69659,0.99103,1,0.995,0.97153,1.18664,0.21787,0.03286,0.61702,1.4715,0.000482,0.000482,0.000482
48,1274.81,0.72048,0.3594,0.20645,0.62445,1.21762,0.99009,1,0.995,0.68054,0.99009,1,0.995,0.96976,1.34864,0.23304,0.03509,0.67411,1.64721,0.000449,0.000449,0.000449
49,1301.25,0.72289,0.36958,0.20675,0.6098,1.22877,0.99198,1,0.995,0.727,0.99198,1,0.995,0.97123,1.21198,0.25249,0.02571,0.5885,1.51379,0.000416,0.000416,0.000416
50,1327.68,0.72621,0.33541,0.20567,0.61118,1.25308,0.99166,1,0.995,0.68441,0.99166,1,0.995,0.995,1.28335,0.18647,0.02939,0.58413,1.58813,0.000383,0.000383,0.000383
51,1352.35,0.762,0.24392,0.06671,0.56395,1.42787,0.99356,1,0.995,0.7352,0.99356,1,0.995,0.995,1.0619,0.16453,0.0195,0.47607,1.42122,0.00035,0.00035,0.00035
52,1377.02,0.73268,0.22966,0.04678,0.43779,1.40039,0.99495,1,0.995,0.76222,0.99495,1,0.995,0.995,0.97494,0.1461,0.01966,0.43684,1.31983,0.000317,0.000317,0.000317
53,1401.66,0.68062,0.22543,0.05069,0.40485,1.349,0.99515,1,0.995,0.75468,0.99515,1,0.995,0.995,1.03073,0.15801,0.02786,0.39209,1.41908,0.000284,0.000284,0.000284
54,1426.22,0.68417,0.20872,0.03856,0.37321,1.34331,0.99497,1,0.995,0.81578,0.99497,1,0.995,0.995,0.91478,0.14132,0.0307,0.37501,1.26262,0.000251,0.000251,0.000251
55,1450.81,0.66156,0.18435,0.04192,0.36707,1.30583,0.99485,1,0.995,0.79432,0.99485,1,0.995,0.995,0.99591,0.11063,0.02198,0.38321,1.35081,0.000218,0.000218,0.000218
56,1475.55,0.6375,0.17999,0.03462,0.3521,1.28591,0.9949,1,0.995,0.76981,0.9949,1,0.995,0.995,1.01077,0.11063,0.02001,0.37933,1.40327,0.000185,0.000185,0.000185
57,1500.02,0.62726,0.16499,0.0387,0.34884,1.26534,0.99506,1,0.995,0.77992,0.99506,1,0.995,0.995,0.97148,0.10248,0.02275,0.3908,1.36943,0.000152,0.000152,0.000152
58,1524.55,0.59388,0.1645,0.04713,0.33182,1.2502,0.99495,1,0.995,0.80851,0.99495,1,0.995,0.995,0.87133,0.0945,0.02022,0.356,1.28316,0.000119,0.000119,0.000119
59,1549.16,0.60529,0.15118,0.0486,0.33949,1.26354,0.99498,1,0.995,0.78676,0.99498,1,0.995,0.995,0.96138,0.09066,0.01985,0.35831,1.35325,8.6e-05,8.6e-05,8.6e-05
60,1573.74,0.60282,0.1761,0.04714,0.33378,1.2543,0.99504,1,0.995,0.78804,0.99504,1,0.995,0.995,0.93184,0.0895,0.01818,0.34566,1.33199,5.3e-05,5.3e-05,5.3e-05
